"Tariff name","Old rate","New rate","Change","Change text",""
"3901000000 - I. PRIMARY FORMS","160","170","10","rate increased",""
"3901000000 - Polymers of ethylene, in primary forms","160","170","10","rate increased",""
"3901101000 - Linear polyethylene","160","170","10","rate increased",""
"3901201000 - Polyethylene in one of the forms mentioned in note 6(b) to this chapter, of a specific gravity of 0,958 or more at 23 °C, containing:- 50 mg/kg or less of aluminium,- 2 mg/kg or less of calcium,- 2 mg/kg or less of chromium,- 2 mg/kg or less of iron,- 2 mg/kg or less of nickel,- 2 mg/kg or less of titanium and- 8 mg/kg or less of vanadium,for the manufacture of chlorosulphonated polyethylene","160","170","10","rate increased",""
"3902901000 - A-B-A block copolymer of polystyrene, ethylene-butylene copolymer and polystyrene, containing by weight 35 % or less of styrene, in one of the forms mentioned in note 6(b) to this chapter","160","170","10","rate increased",""
"3903901000 - Copolymer, solely of styrene with allyl alcohol, of an acetyl value of 175 or more","160","170","10","rate increased",""
"3904501000 - Copolymer of vinylidene chloride with acrylonitrile, in the form of expansible beads of a diameter of 4 micrometres or more but not more than 20 micrometres","160","170","10","rate increased",""
"3906901000 - Poly[N-(3-hydroxyimino-1,1-dimethylbutyl)acrylamide]","160","170","10","rate increased",""
"3909501000 - Polyurethane of 2,2′-(tert-butylimino)diethanol and 4,4′-methylenedicyclohexyl diisocyanate, in the form of a solution in N,N-dimethylacetamide, containing by weight 50 % or more of polymer","160","170","10","rate increased",""
"3912901000 - Cellulose esters","160","170","10","rate increased",""
"3916901000 - Of condensation or rearrangement polymerisation products, whether or not chemically modified","160","170","10","rate increased",""
"3917101000 - Of hardened protein","160","170","10","rate increased",""
"3918101000 - Consisting of a support impregnated, coated or covered with poly(vinyl chloride)","160","170","10","rate increased",""
"3920100000 - Of polymers of ethylene","160","170","10","rate increased",""
"3921901000 - Of condensation or rearrangement polymerisation products, whether or not chemically modified","160","170","10","rate increased",""
"3921901000 - Of polyesters","160","170","10","rate increased",""
"3921901005 - Corrugated sheet and plates","160","170","10","rate increased",""
"3923101000 - Boxes, cases, crates and similar articles, of plastic, specially shaped or fitted for the conveyance or packing of semiconductor wafers, masks, or reticles","160","170","10","rate increased",""
"3923301000 - Of a capacity not exceeding two litres","160","170","10","rate increased",""
"3923401000 - Spools, reels and similar supports for photographic and cinematographic film or for tapes, films and the like of heading 8523","160","170","10","rate increased",""
"3923501000 - Caps and capsules for bottles","160","170","10","rate increased",""
"3925901000 - Fittings and mountings intended for permanent installation in or on doors, windows, staircases, walls or other parts of buildings","160","170","10","rate increased",""
"4001000000 - Natural rubber, balata, gutta-percha, guayule, chicle and similar natural gums, in primary forms or in plates, sheets or strip","160","170","10","rate increased",""
"4010000000 - Conveyor or transmission belts or belting, of vulcanised rubber","160","170","10","rate increased",""
"4011201000 - With a load index not exceeding 121","160","170","10","rate increased",""
"4101000000 - Raw hides and skins of bovine (including buffalo) or equine animals (fresh, or salted, dried, limed, pickled or otherwise preserved, but not tanned, parchment-dressed or further prepared), whether or not dehaired or split","160","170","10","rate increased",""
"4101201000 - Fresh","160","170","10","rate increased",""
"4101501000 - Fresh","160","170","10","rate increased",""
"4102101000 - Of lambs","160","170","10","rate increased",""
"4105301000 - Vegetable pre-tanned Indian hair sheep, whether or not having undergone certain treatments, but obviously unsuitable for immediate use for the manufacture of leather articles","160","170","10","rate increased",""
"4106401000 - Vegetable pre-tanned","160","170","10","rate increased",""
"4114101000 - Of sheep or lambs","160","170","10","rate increased",""
"4201000000 - Saddlery and harness for any animal (including traces, leads, knee pads, muzzles, saddle-cloths, saddlebags, dog coats and the like), of any material","160","170","10","rate increased",""
"4201000010 - Riding saddles, of leather, hand-made","160","170","10","rate increased",""
"4201000090 - Other","160","170","10","rate increased",""
"4301000000 - Raw furskins (including heads, tails, paws and other pieces or cuttings, suitable for furriers' use), other than raw hides and skins of heading 4101, 4102 or 4103","160","170","10","rate increased",""
"4302301000 - 'Dropped' furskins","160","170","10","rate increased",""
"4303101000 - Of furskins of whitecoat pups of harp seal or of pups of hooded seal (blue-backs)","160","170","10","rate increased",""
"4401000000 - Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms; wood in chips or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms","160","170","10","rate increased",""
"4401401000 - Sawdust","160","170","10","rate increased",""
"4414001000 - Of tropical wood specified in additional note 2 to this chapter","160","170","10","rate increased",""
"4415101000 - Cases, boxes, crates, drums and similar packings","160","170","10","rate increased",""
"4418101000 - Of tropical wood specified in additional note 2 to this chapter","160","170","10","rate increased",""
"4418201000 - Of tropical wood specified in additional note 2 to this chapter","160","170","10","rate increased",""
"4419901000 - Of tropical wood specified in additional note 2 to this chapter","160","170","10","rate increased",""
"4420100000 - Statuettes and other ornaments, of wood","160","170","10","rate increased",""
"4420901000 - Wood marquetry and inlaid wood","160","170","10","rate increased",""
"4501000000 - Natural cork, raw or simply prepared; waste cork; crushed, granulated or ground cork","160","170","10","rate increased",""
"4503101000 - Cylindrical","160","170","10","rate increased",""
"4601000000 - Plaits and similar products of plaiting materials, whether or not assembled into strips; plaiting materials, plaits and similar products of plaiting materials, bound together in parallel strands or woven, in sheet form, whether or not being finished articles (for example, mats, matting, screens)","160","170","10","rate increased",""
"4701000000 - Mechanical wood pulp","160","170","10","rate increased",""
"4701001000 - Thermo-mechanical wood pulp","160","170","10","rate increased",""
"4701009000 - Other","160","170","10","rate increased",""
"4707301000 - Old and unsold newspapers and magazines, telephone directories, brochures and printed advertising material","160","170","10","rate increased",""
"4707901000 - Unsorted","160","170","10","rate increased",""
"4801000000 - Newsprint, in rolls or sheets","160","170","10","rate increased",""
"4802401000 - Not containing fibres obtained by a mechanical process or of which not more than 10 % by weight of the total fibre content consists of such fibres","160","170","10","rate increased",""
"4803001000 - Cellulose wadding","160","170","10","rate increased",""
"4806401000 - Glassine papers","160","170","10","rate increased",""
"4813901000 - In rolls of a width exceeding 5 cm but not exceeding 15 cm","160","170","10","rate increased",""
"4814901000 - Wallpaper and similar wallcoverings, consisting of grained, embossed, surface-coloured, design-printed or otherwise surface-decorated paper, coated or covered with transparent protective plastics","160","170","10","rate increased",""
"4818101000 - Weighing, per ply, 25 g/m2 or less","160","170","10","rate increased",""
"4818201000 - Handkerchiefs and cleansing or facial tissues","160","170","10","rate increased",""
"4818901000 - Articles of a kind used for surgical, medical or hygienic purposes, not put up for retail sale","160","170","10","rate increased",""
"4820100000 - Registers, account books, notebooks, order books, receipt books, letter pads, memorandum pads, diaries and similar articles","160","170","10","rate increased",""
"4820101000 - Registers, account books, order books and receipt books","160","170","10","rate increased",""
"4821101000 - Self-adhesive","160","170","10","rate increased",""
"4821901000 - Self-adhesive","160","170","10","rate increased",""
"4823701000 - Moulded trays and boxes for packing eggs","160","170","10","rate increased",""
"4901000000 - Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets","160","170","10","rate increased",""
"4907001000 - Postage, revenue and similar stamps","160","170","10","rate increased",""
"4911101000 - Commercial catalogues","160","170","10","rate increased",""
"5001000000 - Silkworm cocoons suitable for reeling","160","170","10","rate increased",""
"5004001000 - Unbleached, scoured or bleached","160","170","10","rate increased",""
"5005001000 - Unbleached, scoured or bleached","160","170","10","rate increased",""
"5006001000 - Silk yarn","160","170","10","rate increased",""
"5007901000 - Unbleached, scoured or bleached","160","170","10","rate increased",""
"5101000000 - Wool, not carded or combed","160","170","10","rate increased",""
"5103101000 - Not carbonised","160","170","10","rate increased",""
"5106101000 - Unbleached","160","170","10","rate increased",""
"5106201000 - Containing 85 % or more by weight of wool and fine animal hair","160","170","10","rate increased",""
"5107101000 - Unbleached","160","170","10","rate increased",""
"5107201000 - Containing 85 % or more by weight of wool and fine animal hair","160","170","10","rate increased",""
"5107201000 - Unbleached","160","170","10","rate increased",""
"5108101000 - Unbleached","160","170","10","rate increased",""
"5108201000 - Unbleached","160","170","10","rate increased",""
"5109101000 - In balls, hanks or skeins, of a weight exceeding 125 g but not exceeding 500 g","160","170","10","rate increased",""
"5111301000 - Of a weight not exceeding 300 g/m2","160","170","10","rate increased",""
"5111901000 - Containing a total of more than 10 % by weight of textile materials of Chapter 50","160","170","10","rate increased",""
"5112301000 - Of a weight not exceeding 200 g/m2","160","170","10","rate increased",""
"5112901000 - Containing a total of more than 10 % by weight of textile materials of Chapter 50","160","170","10","rate increased",""
"5201000000 - Cotton, not carded or combed","160","170","10","rate increased",""
"5201001000 - Rendered absorbent or bleached","160","170","10","rate increased",""
"5201009000 - Other","160","170","10","rate increased",""
"5301000000 - Flax, raw or processed but not spun; flax tow and waste (including yarn waste and garnetted stock)","160","170","10","rate increased",""
"5306101000 - Measuring 833,3 decitex or more (not exceeding 12 metric number)","160","170","10","rate increased",""
"5306101000 - Not put up for retail sale","160","170","10","rate increased",""
"5306201000 - Not put up for retail sale","160","170","10","rate increased",""
"5308201000 - Not put up for retail sale","160","170","10","rate increased",""
"5310100000 - Unbleached","160","170","10","rate increased",""
"5310101000 - Of a width not exceeding 150 cm","160","170","10","rate increased",""
"5311001000 - Of ramie","160","170","10","rate increased",""
"5401000000 - Sewing thread of man-made filaments, whether or not put up for retail sale","160","170","10","rate increased",""
"5401201000 - Not put up for retail sale","160","170","10","rate increased",""
"5404901000 - Of polypropylene","160","170","10","rate increased",""
"5501000000 - Synthetic filament tow","160","170","10","rate increased",""
"5505101000 - Of nylon or other polyamides","160","170","10","rate increased",""
"5508101000 - Not put up for retail sale","160","170","10","rate increased",""
"5508201000 - Not put up for retail sale","160","170","10","rate increased",""
"5514301000 - Of polyester staple fibres, plain weave","160","170","10","rate increased",""
"5601000000 - Wadding of textile materials and articles thereof; textile fibres, not exceeding 5 mm in length (flock), textile dust and mill neps","160","170","10","rate increased",""
"5604901000 - High-tenacity yarn of polyesters, of nylon or other polyamides or of viscose rayon, impregnated or coated","160","170","10","rate increased",""
"5606001000 - Loop wale-yarn","160","170","10","rate increased",""
"5701000000 - Carpets and other textile floor coverings, knotted, whether or not made up","160","170","10","rate increased",""
"5701101000 - Containing a total of more than 10 % by weight of silk or of waste silk other than noil","160","170","10","rate increased",""
"5701901000 - Of silk, of waste silk other than noil, of synthetic fibres, of yarn of heading 5605 or of textile materials containing metal threads","160","170","10","rate increased",""
"5702501000 - Of wool or fine animal hair","160","170","10","rate increased",""
"5801000000 - Woven pile fabrics and chenille fabrics, other than fabrics of heading 5802 or 5806","160","170","10","rate increased",""
"5801901000 - Of flax","160","170","10","rate increased",""
"5803001000 - Of cotton","160","170","10","rate increased",""
"5804101000 - Plain","160","170","10","rate increased",""
"5807101000 - With woven inscription","160","170","10","rate increased",""
"5807901000 - Of felt or nonwovens","160","170","10","rate increased",""
"5810100000 - Embroidery without visible ground","160","170","10","rate increased",""
"5810101000 - Of a value exceeding € 35/kg (net weight)","160","170","10","rate increased",""
"5901000000 - Textile fabrics coated with gum or amylaceous substances, of a kind used for the outer covers of books or the like; tracing cloth; prepared painting canvas; buckram and similar stiffened textile fabrics of a kind used for hat foundations","160","170","10","rate increased",""
"5902101000 - Impregnated with rubber","160","170","10","rate increased",""
"5902201000 - Impregnated with rubber","160","170","10","rate increased",""
"5902901000 - Impregnated with rubber","160","170","10","rate increased",""
"5903101000 - Impregnated","160","170","10","rate increased",""
"5903201000 - Impregnated","160","170","10","rate increased",""
"5903901000 - Impregnated","160","170","10","rate increased",""
"5905001000 - Consisting of parallel yarns, fixed on a backing of any material","160","170","10","rate increased",""
"5909001000 - Of synthetic fibres","160","170","10","rate increased",""
"5911901000 - Of felt","160","170","10","rate increased",""
"6001000000 - Pile fabrics, including 'long pile' fabrics and terry fabrics, knitted or crocheted","160","170","10","rate increased",""
"6003301000 - Raschel lace","160","170","10","rate increased",""
"6005901000 - Of wool or fine animal hair","160","170","10","rate increased",""
"6101000000 - Men's or boys' overcoats, car coats, capes, cloaks, anoraks (including ski jackets), windcheaters, wind-jackets and similar articles, knitted or crocheted, other than those of heading 6103","160","170","10","rate increased",""
"6101201000 - Overcoats, car coats, capes, cloaks and similar articles","160","170","10","rate increased",""
"6101301000 - Overcoats, car coats, capes, cloaks and similar articles","160","170","10","rate increased",""
"6102101000 - Overcoats, car coats, capes, cloaks and similar articles","160","170","10","rate increased",""
"6102201000 - Overcoats, car coats, capes, cloaks and similar articles","160","170","10","rate increased",""
"6102301000 - Overcoats, car coats, capes, cloaks and similar articles","160","170","10","rate increased",""
"6102901000 - Overcoats, car coats, capes, cloaks and similar articles","160","170","10","rate increased",""
"6103101000 - Of wool or fine animal hair","160","170","10","rate increased",""
"6105201000 - Of synthetic fibres","160","170","10","rate increased",""
"6105901000 - Of wool or fine animal hair","160","170","10","rate increased",""
"6106901000 - Of wool or fine animal hair","160","170","10","rate increased",""
"6110201000 - Lightweight fine knit roll, polo or turtleneck jumpers and pullovers","160","170","10","rate increased",""
"6110301000 - Lightweight fine knit roll, polo or turtleneck jumpers and pullovers","160","170","10","rate increased",""
"6110901000 - Of flax or ramie","160","170","10","rate increased",""
"6111201000 - Gloves, mittens and mitts","160","170","10","rate increased",""
"6111301000 - Gloves, mittens and mitts","160","170","10","rate increased",""
"6113001000 - Of knitted or crocheted fabrics of heading 5906","160","170","10","rate increased",""
"6115101000 - Of synthetic fibres","160","170","10","rate increased",""
"6117801000 - Knitted or crocheted, elasticated or rubberised","160","170","10","rate increased",""
"6201000000 - Men's or boys' overcoats, car coats, capes, cloaks, anoraks (including ski jackets), windcheaters, wind-jackets and similar articles, other than those of heading 6203","160","170","10","rate increased",""
"6205901000 - Of flax or ramie","160","170","10","rate increased",""
"6206901000 - Of flax or ramie","160","170","10","rate increased",""
"6209901000 - Of wool or fine animal hair","160","170","10","rate increased",""
"6210100000 - Of fabrics of heading 5602 or 5603","160","170","10","rate increased",""
"6210101000 - Of fabrics of heading 5602","160","170","10","rate increased",""
"6212101000 - In a set made up for retail sale containing a brassière and a pair of briefs","160","170","10","rate increased",""
"6301000000 - Blankets and travelling rugs","160","170","10","rate increased",""
"6301000000 - I. OTHER MADE-UP TEXTILE ARTICLES","160","170","10","rate increased",""
"6301201000 - Knitted or crocheted","160","170","10","rate increased",""
"6301301000 - Knitted or crocheted","160","170","10","rate increased",""
"6301401000 - Knitted or crocheted","160","170","10","rate increased",""
"6301901000 - Knitted or crocheted","160","170","10","rate increased",""
"6305101000 - Used","160","170","10","rate increased",""
"6307101000 - Knitted or crocheted","160","170","10","rate increased",""
"6307901000 - Knitted or crocheted","160","170","10","rate increased",""
"6310100000 - Sorted","160","170","10","rate increased",""
"6401000000 - Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor assembled by stitching, riveting, nailing, screwing, plugging or similar processes","160","170","10","rate increased",""
"6404201000 - Slippers and other indoor footwear","160","170","10","rate increased",""
"6405201000 - With outer soles of wood or cork","160","170","10","rate increased",""
"6405901000 - With outer soles of rubber, plastics, leather or composition leather","160","170","10","rate increased",""
"6406101000 - Of leather","160","170","10","rate increased",""
"6406201000 - Of rubber","160","170","10","rate increased",""
"6501000000 - Hat-forms, hat bodies and hoods of felt, neither blocked to shape nor with made brims; plateaux and manchons (including slit manchons), of felt","160","170","10","rate increased",""
"6505001000 - Of fur felt or of felt of wool and fur, made from the hat bodies, hoods or plateaux of heading 6501 00 00","160","170","10","rate increased",""
"6506101000 - Of plastics","160","170","10","rate increased",""
"6601000000 - Umbrellas and sun umbrellas (including walking-stick umbrellas, garden umbrellas and similar umbrellas)","160","170","10","rate increased",""
"6603901000 - Handles and knobs","160","170","10","rate increased",""
"6701000000 - Skins and other parts of birds with their feathers or down, feathers, parts of feathers, down and articles thereof (other than goods of heading 0505 and worked quills and scapes)","160","170","10","rate increased",""
"6801000000 - Setts, curbstones and flagstones, of natural stone (except slate)","160","170","10","rate increased",""
"6803001000 - Roofing and wall slates","160","170","10","rate increased",""
"6806201000 - Expanded clays","160","170","10","rate increased",""
"6812801000 - Fabricated fibres; mixtures with a basis of asbestos or with a basis of asbestos and magnesium carbonate","160","170","10","rate increased",""
"6815101000 - Carbon fibres and articles of carbon fibres","160","170","10","rate increased",""
"6901000000 - Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (for example, kieselguhr, tripolite or diatomite) or of similar siliceous earths","160","170","10","rate increased",""
"6901000000 - I. GOODS OF SILICEOUS FOSSIL MEALS OR OF SIMILAR SILICEOUS EARTHS, AND REFRACTORY GOODS","160","170","10","rate increased",""
"6902201000 - Containing, by weight, 93 % or more of silica (SiO2)","160","170","10","rate increased",""
"6903201000 - Containing, by weight, less than 45 % of alumina (Al2O3)","160","170","10","rate increased",""
"6903901000 - Containing, by weight, more than 25 % but not more than 50 % of graphite or other carbon or of a mixture of these products","160","170","10","rate increased",""
"6910100000 - Of porcelain or china","160","170","10","rate increased",""
"6913901000 - Of common pottery","160","170","10","rate increased",""
"7001000000 - Cullet and other waste and scrap of glass; glass in the mass","160","170","10","rate increased",""
"7001001000 - Cullet and other waste and scrap of glass","160","170","10","rate increased",""
"7001009100 - Glass in the mass","160","170","10","rate increased",""
"7001009100 - Optical glass","160","170","10","rate increased",""
"7001009900 - Other","160","170","10","rate increased",""
"7002201000 - Of optical glass","160","170","10","rate increased",""
"7004201000 - Optical glass","160","170","10","rate increased",""
"7004901000 - Optical glass","160","170","10","rate increased",""
"7006001000 - Optical glass","160","170","10","rate increased",""
"7010000000 - Carboys, bottles, flasks, jars, pots, phials, ampoules and other containers, of glass, of a kind used for the conveyance or packing of goods; preserving jars of glass; stoppers, lids and other closures, of glass","160","170","10","rate increased",""
"7010100000 - Ampoules","160","170","10","rate increased",""
"7010901000 - Preserving jars (sterilising jars)","160","170","10","rate increased",""
"7016901000 - Leaded lights and the like","160","170","10","rate increased",""
"7018901000 - Glass eyes; articles of glass smallware","160","170","10","rate increased",""
"7020001000 - Of fused quartz or other fused silica","160","170","10","rate increased",""
"7020001000 - Other","160","170","10","rate increased",""
"7101000000 - I. NATURAL OR CULTURED PEARLS AND PRECIOUS OR SEMI-PRECIOUS STONES","160","170","10","rate increased",""
"7101000000 - Pearls, natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for convenience of transport","160","170","10","rate increased",""
"7104201000 - Diamonds","160","170","10","rate increased",""
"7104901000 - Diamonds","160","170","10","rate increased",""
"7201000000 - I. PRIMARY MATERIALS; PRODUCTS IN GRANULAR OR POWDER FORM","160","170","10","rate increased",""
"7201000000 - Pig iron and spiegeleisen in pigs, blocks or other primary forms","160","170","10","rate increased",""
"7201501000 - Alloy pig iron containing by weight not less than 0,3 % but not more than 1 % of titanium and not less than 0,5 % but not more than 1 % of vanadium","160","170","10","rate increased",""
"7210701000 - Tinplate, varnished; products, plated or coated with chromium oxides or with chromium and chromium oxides, varnished","160","170","10","rate increased",""
"7212101000 - Tinplate, not further worked than surface-treated","160","170","10","rate increased",""
"7216401000 - L sections","160","170","10","rate increased",""
"7216501000 - With a cross-section which is capable of being enclosed in a square the side of which is 80 mm","160","170","10","rate increased",""
"7217101000 - Containing by weight less than 0,25 % of carbon","160","170","10","rate increased",""
"7217101000 - With a maximum cross-sectional dimension of less than 0,8 mm","160","170","10","rate increased",""
"7217201000 - Containing by weight less than 0,25 % of carbon","160","170","10","rate increased",""
"7217201000 - With a maximum cross-sectional dimension of less than 0,8 mm","160","170","10","rate increased",""
"7221001000 - Containing by weight 2,5 % or more of nickel","160","170","10","rate increased",""
"7222401000 - Not further worked than hot-rolled, hot-drawn or extruded","160","170","10","rate increased",""
"7224101000 - Of tool steel","160","170","10","rate increased",""
"7225301000 - Of tool steel","160","170","10","rate increased",""
"7227901000 - Containing by weight 0,0008 % or more of boron with any other element less than the minimum content referred to in note 1(f) to this chapter","160","170","10","rate increased",""
"7228201000 - Of rectangular (other than square) cross-section, hot-rolled on four faces","160","170","10","rate increased",""
"7228401000 - Of tool steel","160","170","10","rate increased",""
"7228701000 - Not further worked than hot-rolled, hot-drawn or extruded","160","170","10","rate increased",""
"7301000000 - Sheet piling of iron or steel, whether or not drilled, punched or made from assembled elements; welded angles, shapes and sections, of iron or steel","160","170","10","rate increased",""
"7302101000 - Current-conducting, with parts of non-ferrous metal","160","170","10","rate increased",""
"7303001000 - Tubes and pipes of a kind used in pressure systems","160","170","10","rate increased",""
"7309001000 - For gases (other than compressed or liquefied gas)","160","170","10","rate increased",""
"7310100000 - Of a capacity of 50 l or more","160","170","10","rate increased",""
"7314201000 - Of ribbed wire","160","170","10","rate increased",""
"7319901000 - Sewing, darning or embroidery needles","160","170","10","rate increased",""
"7320100000 - Leaf-springs and leaves therefor","160","170","10","rate increased",""
"7320901000 - Flat spiral springs","160","170","10","rate increased",""
"7401000000 - Copper mattes; cement copper (precipitated copper)","160","170","10","rate increased",""
"7404001000 - Of refined copper","160","170","10","rate increased",""
"7411101000 - Straight","160","170","10","rate increased",""
"7418101000 - Cooking or heating apparatus of a kind used for domestic purposes, non-electric, and parts thereof","160","170","10","rate increased",""
"7501000000 - Nickel mattes, nickel oxide sinters and other intermediate products of nickel metallurgy","160","170","10","rate increased",""
"7503001000 - Of nickel, not alloyed","160","170","10","rate increased",""
"7601000000 - Unwrought aluminium","160","170","10","rate increased",""
"7604101000 - Bars and rods","160","170","10","rate increased",""
"7607201000 - Of a thickness (excluding any backing) of less than 0,021 mm","160","170","10","rate increased",""
"7610100000 - Doors, windows and their frames and thresholds for doors","160","170","10","rate increased",""
"7610901000 - Bridges and bridge-sections, towers and lattice masts","160","170","10","rate increased",""
"7615101000 - Cast","160","170","10","rate increased",""
"7801000000 - Unwrought lead","160","170","10","rate increased",""
"7806001000 - Containers with an anti-radiation lead covering, for the transport or storage of radioactive materials","160","170","10","rate increased",""
"7901000000 - Unwrought zinc","160","170","10","rate increased",""
"8001000000 - Unwrought tin","160","170","10","rate increased",""
"8007001000 - Plates, sheets and strip, of a thickness exceeding 0,2 mm","160","170","10","rate increased",""
"8101000000 - Tungsten (wolfram) and articles thereof, including waste and scrap","160","170","10","rate increased",""
"8103901000 - Bars and rods, other than those obtained simply by sintering, profiles, wire, plates, sheets, strip and foil","160","170","10","rate increased",""
"8106001000 - Unwrought bismuth; waste and scrap; powders","160","170","10","rate increased",""
"8110100000 - Unwrought antimony; powders","160","170","10","rate increased",""
"8110100010 - Antimony in the form of ingots","160","170","10","rate increased",""
"8110100090 - Other","160","170","10","rate increased",""
"8201000000 - Hand tools, the following: spades, shovels, mattocks, picks, hoes, forks and rakes; axes, billhooks and similar hewing tools; secateurs and pruners of any kind; scythes, sickles, hay knives, hedge shears, timber wedges and other tools of a kind used in agriculture, horticulture or forestry","160","170","10","rate increased",""
"8205901000 - Anvils; portable forges; hand- or pedal-operated grinding wheels with frameworks","160","170","10","rate increased",""
"8207201000 - With working part of diamond or agglomerated diamond","160","170","10","rate increased",""
"8207301000 - For working metal","160","170","10","rate increased",""
"8207401000 - For working metal","160","170","10","rate increased",""
"8207401000 - Tools for tapping","160","170","10","rate increased",""
"8207501000 - With working part of diamond or agglomerated diamond","160","170","10","rate increased",""
"8207601000 - With working part of diamond or agglomerated diamond","160","170","10","rate increased",""
"8207701000 - For working metal, with working part","160","170","10","rate increased",""
"8207701000 - Of cermets","160","170","10","rate increased",""
"8207901000 - With working part of diamond or agglomerated diamond","160","170","10","rate increased",""
"8212101000 - Safety razors with non-replaceable blades","160","170","10","rate increased",""
"8215201000 - Of stainless steel","160","170","10","rate increased",""
"8301000000 - Padlocks and locks (key, combination or electrically operated), of base metal; clasps and frames with clasps, incorporating locks, of base metal; keys for any of the foregoing articles, of base metal","160","170","10","rate increased",""
"8309901000 - Capsules of lead; capsules of aluminium of a diameter exceeding 21 mm","160","170","10","rate increased",""
"8401000000 - Nuclear reactors; fuel elements (cartridges), non-irradiated, for nuclear reactors; machinery and apparatus for isotopic separation","160","170","10","rate increased",""
"8403101000 - Of cast iron","160","170","10","rate increased",""
"8403901000 - Of cast iron","160","170","10","rate increased",""
"8406901000 - Stator blades, rotors and their blades","160","170","10","rate increased",""
"8407901000 - Of a cylinder capacity not exceeding 250 cm3","160","170","10","rate increased",""
"8408201000 - For the industrial assembly of: pedestrian-controlled tractors of subheading 8701 10; motor vehicles of heading 8703; motor vehicles of heading 8704 with an engine of a cylinder capacity of less than 2 500 cm3; motor vehicles of heading 8705","160","170","10","rate increased",""
"8412801000 - Steam or other vapour power engines","160","170","10","rate increased",""
"8414401000 - Giving a flow per minute not exceeding 2 m3","160","170","10","rate increased",""
"8415101000 - Self-contained","160","170","10","rate increased",""
"8416101000 - Incorporating an automatic control device","160","170","10","rate increased",""
"8416201000 - Only for gas, monobloc, incorporating a ventilator and a control device","160","170","10","rate increased",""
"8417201000 - Tunnel ovens","160","170","10","rate increased",""
"8420100000 - Calendering or other rolling machines","160","170","10","rate increased",""
"8420101000 - Of a kind used in the textile industry","160","170","10","rate increased",""
"8422901000 - Of dishwashing machines","160","170","10","rate increased",""
"8423101000 - Household scales","160","170","10","rate increased",""
"8423201000 - Using electronic means for gauging weight","160","170","10","rate increased",""
"8423301000 - Using electronic means for gauging weight","160","170","10","rate increased",""
"8423901000 - Parts of weighing machinery of subheadings 8423 20 10, 8423 30 10, 8423 81 21, 8423 81 23 , 8423 81 25, 8423 81 29, 8423 82 20 or 8423 89 20","160","170","10","rate increased",""
"8424300100 - Water cleaning appliances, with built-in motor","160","170","10","rate increased",""
"8424300100 - With heating device","160","170","10","rate increased",""
"8424301000 - Compressed air operated","160","170","10","rate increased",""
"8424301000 - Other machines","160","170","10","rate increased",""
"8427101000 - With a lifting height of 1 m or more","160","170","10","rate increased",""
"8429401000 - Roadrollers","160","170","10","rate increased",""
"8429401000 - Vibratory","160","170","10","rate increased",""
"8430100000 - Piledrivers and pile extractors","160","170","10","rate increased",""
"8433201000 - With motor","160","170","10","rate increased",""
"8436801000 - Forestry machinery","160","170","10","rate increased",""
"8438101000 - Bakery machinery","160","170","10","rate increased",""
"8438801000 - For the preparation of tea or coffee","160","170","10","rate increased",""
"8440100000 - Machinery","160","170","10","rate increased",""
"8440101000 - Folding machines","160","170","10","rate increased",""
"8441101000 - Combined reel slitting and re-reeling machines","160","170","10","rate increased",""
"8441901000 - Of cutting machines","160","170","10","rate increased",""
"8444001000 - Machines for extruding","160","170","10","rate increased",""
"8451801000 - Machines used in the manufacture of linoleum or other floor coverings for applying the paste to the base fabric or other support","160","170","10","rate increased",""
"8454301000 - For casting under pressure","160","170","10","rate increased",""
"8455301000 - Of cast iron","160","170","10","rate increased",""
"8457101000 - Horizontal","160","170","10","rate increased",""
"8457301000 - Numerically controlled","160","170","10","rate increased",""
"8460401000 - Numerically controlled","160","170","10","rate increased",""
"8461301000 - Numerically controlled","160","170","10","rate increased",""
"8462101000 - Numerically controlled","160","170","10","rate increased",""
"8463101000 - Drawbenches for wire","160","170","10","rate increased",""
"8465101000 - With manual transfer of workpiece between each operation","160","170","10","rate increased",""
"8470100000 - Electronic calculators capable of operation without an external source of electric power and pocket-size data-recording, reproducing and displaying machines with calculating functions","160","170","10","rate increased",""
"8472901000 - Coin-sorting, coin-counting or coin-wrapping machines","160","170","10","rate increased",""
"8473401000 - Electronic assemblies","160","170","10","rate increased",""
"8474801000 - Machinery for agglomerating, shaping or moulding ceramic paste","160","170","10","rate increased",""
"8474901000 - Of cast iron or cast steel","160","170","10","rate increased",""
"8475901000 - Parts of machines of subheading 8475 21 00","160","170","10","rate increased",""
"8476901000 - Parts of money-changing machines","160","170","10","rate increased",""
"8477901000 - Of cast iron or cast steel","160","170","10","rate increased",""
"8479301000 - Presses","160","170","10","rate increased",""
"8480100000 - Moulding boxes for metal foundry","160","170","10","rate increased",""
"8480301000 - Of wood","160","170","10","rate increased",""
"8481201000 - Valves for the control of oleohydraulic power transmission","160","170","10","rate increased",""
